 1.02880E+15   2.30889E-40 
 1.24260E+15   6.79297E-39 
 1.47660E+15   1.48922E-37 
 1.73070E+15   2.54570E-36 
 2.00500E+15   3.52272E-35 
 2.29950E+15   4.06072E-34 
 2.61410E+15   3.98763E-33 
 2.94890E+15   3.40237E-32 
 3.30390E+15   2.56198E-31 
 3.67900E+15   1.72403E-30 
 4.07430E+15   1.04883E-29 
 4.48980E+15   5.82220E-29 
 4.92540E+15   2.97141E-28 
 5.38120E+15   1.40420E-27 
 5.85720E+15   6.17954E-27 
 6.35330E+15   2.54387E-26 
 6.86960E+15   9.83723E-26 
 7.40610E+15   3.58419E-25 
 7.96270E+15   1.23260E-24 
 8.53950E+15   4.00466E-24 
 9.13650E+15   1.22763E-23 
 9.75370E+15   3.53383E-23 
 1.03910E+16   9.43182E-23 
 1.10480E+16   2.25247E-22 
 1.17260E+16   4.12870E-22 
 1.24240E+16   1.23192E-22 
 1.31420E+16   3.52881E-22 
 1.38800E+16   9.81296E-22 
 1.46380E+16   2.65333E-21 
 1.54170E+16   6.99456E-21 
 1.62150E+16   1.79562E-20 
 1.70340E+16   4.50534E-20 
 1.78730E+16   1.10479E-19 
 1.87320E+16   2.65055E-19 
 1.96120E+16   6.23378E-19 
 2.05110E+16   1.43578E-18 
 2.14310E+16   3.24738E-18 
 2.23710E+16   7.21165E-18 
 2.33310E+16   1.57371E-17 
 2.43110E+16   3.37690E-17 
 2.53110E+16   7.13032E-17 
 2.63320E+16   1.48347E-16 
 2.73720E+16   3.03853E-16 
 2.84330E+16   6.13915E-16 
 2.95140E+16   1.22332E-15 
 3.06150E+16   2.40535E-15 
 3.17370E+16   4.67178E-15 
 3.28780E+16   8.95640E-15 
 3.40400E+16   1.69751E-14 
 3.52220E+16   3.18014E-14 
 3.64240E+16   5.89116E-14 
 3.76460E+16   1.07953E-13 
 3.88880E+16   1.95747E-13 
 4.01500E+16   3.51342E-13 
 4.14330E+16   6.24691E-13 
 4.27360E+16   1.10008E-12 
 4.40590E+16   1.91927E-12 
 4.54020E+16   3.31829E-12 
 4.67650E+16   5.68684E-12 
 4.81490E+16   9.66669E-12 
 4.95530E+16   1.62954E-11 
 5.09760E+16   2.72377E-11 
 5.24200E+16   4.51863E-11 
 5.38850E+16   7.44126E-11 
 5.53690E+16   1.21585E-10 
 5.68730E+16   1.97212E-10 
 5.83980E+16   3.17704E-10 
 5.99430E+16   5.08251E-10 
 6.15080E+16   8.07551E-10 
 6.30930E+16   1.27457E-09 
 6.46990E+16   1.99914E-09 
 6.63240E+16   3.11477E-09 
 6.79700E+16   4.82398E-09 
 6.96360E+16   7.42531E-09 
 7.13220E+16   1.13607E-08 
 7.30280E+16   1.72792E-08 
 7.47540E+16   2.61285E-08 
 7.65010E+16   3.92933E-08 
 7.82670E+16   5.87451E-08 
 8.00540E+16   8.73586E-08 
 8.18610E+16   1.29196E-07 
 8.36880E+16   1.90035E-07 
 8.55360E+16   2.78077E-07 
 8.74030E+16   4.04656E-07 
 8.92910E+16   5.85843E-07 
 9.11990E+16   8.43668E-07 
 9.31270E+16   1.20853E-06 
 9.50750E+16   1.72199E-06 
 9.70430E+16   2.44051E-06 
 9.90320E+16   3.44072E-06 
 1.01040E+17   4.82339E-06 
 1.03070E+17   6.72589E-06 
 1.05120E+17   9.32436E-06 
 1.07190E+17   1.28487E-05 
 1.09280E+17   1.75930E-05 
 1.11390E+17   2.39264E-05 
 1.13520E+17   3.23019E-05 
 1.15670E+17   4.32574E-05 
 1.17840E+17   5.73987E-05 
 1.20030E+17   7.53475E-05 
 1.22240E+17   9.76161E-05 
 1.24470E+17   1.24328E-04 
 1.26720E+17   1.54600E-04 
 1.28990E+17   1.85034E-04 
 1.31280E+17   2.05095E-04 
 1.33590E+17   1.66176E-04 
 1.35920E+17   1.27328E-04 
 1.38270E+17   1.73344E-04 
 1.40650E+17   2.35543E-04 
 1.43040E+17   3.18646E-04 
 1.45450E+17   4.29742E-04 
 1.47880E+17   5.77806E-04 
 1.50330E+17   7.74547E-04 
 1.52810E+17   1.03640E-03 
 1.55300E+17   1.38105E-03 
 1.57810E+17   1.83496E-03 
 1.60340E+17   2.43102E-03 
 1.62900E+17   3.21495E-03 
 1.65470E+17   4.23494E-03 
 1.68070E+17   5.56859E-03 
 1.70680E+17   7.29392E-03 
 1.73310E+17   9.52708E-03 
 1.75970E+17   1.24215E-02 
 1.78640E+17   1.61340E-02 
 1.81340E+17   2.09174E-02 
 1.84050E+17   2.70170E-02 
 1.86780E+17   3.47972E-02 
 1.89540E+17   4.47313E-02 
 1.92310E+17   5.72844E-02 
 1.95110E+17   7.32112E-02 
 1.97930E+17   9.32871E-02 
 2.00760E+17   1.18408E-01 
 2.03620E+17   1.49951E-01 
 2.06490E+17   1.89134E-01 
 2.09390E+17   2.37952E-01 
 2.12300E+17   2.98095E-01 
 2.15240E+17   3.72354E-01 
 2.18200E+17   4.63286E-01 
 2.21170E+17   5.73575E-01 
 2.24170E+17   7.07349E-01 
 2.27190E+17   8.67839E-01 
 2.30230E+17   1.05853E+00 
 2.33280E+17   1.28159E+00 
 2.36360E+17   1.54002E+00 
 2.39460E+17   1.83183E+00 
 2.42580E+17   2.14992E+00 
 2.45710E+17   2.47471E+00 
 2.48870E+17   2.76505E+00 
 2.52050E+17   2.91108E+00 
 2.55250E+17   2.45728E+00 
 2.58470E+17   2.04304E+00 
 2.61710E+17   2.53903E+00 
 2.64970E+17   3.14948E+00 
 2.68240E+17   3.89685E+00 
 2.71540E+17   4.81566E+00 
 2.74860E+17   5.93993E+00 
 2.78200E+17   7.31280E+00 
 2.81560E+17   8.98586E+00 
 2.84940E+17   1.10206E+01 
 2.88340E+17   1.34899E+01 
 2.91760E+17   1.64801E+01 
 2.95200E+17   2.00933E+01 
 2.98670E+17   2.44627E+01 
 3.02150E+17   2.97037E+01 
 3.05650E+17   3.59911E+01 
 3.09170E+17   4.35137E+01 
 3.12710E+17   5.24895E+01 
 3.16270E+17   6.31670E+01 
 3.19850E+17   7.58279E+01 
 3.23460E+17   9.08329E+01 
 3.27080E+17   1.08448E+02 
 3.30720E+17   1.29090E+02 
 3.34380E+17   1.53157E+02 
 3.38060E+17   1.81054E+02 
 3.41770E+17   2.13257E+02 
 3.45490E+17   2.49912E+02 
 3.49230E+17   2.91284E+02 
 3.53000E+17   3.37429E+02 
 3.56780E+17   3.87572E+02 
 3.60580E+17   4.40488E+02 
 3.64410E+17   4.93465E+02 
 3.68250E+17   5.40339E+02 
 3.72120E+17   5.68031E+02 
 3.76000E+17   5.33800E+02 
 3.79900E+17   4.10603E+02 
 3.83830E+17   4.89038E+02 
 3.87770E+17   5.81368E+02 
 3.91740E+17   6.90432E+02 
 3.95720E+17   8.18401E+02 
 3.99730E+17   9.69049E+02 
 4.03750E+17   1.14520E+03 
 4.07800E+17   1.35180E+03 
 4.11870E+17   1.59310E+03 
 4.15950E+17   1.87358E+03 
 4.20060E+17   2.20050E+03 
 4.24180E+17   2.57879E+03 
 4.28330E+17   3.01751E+03 
 4.32500E+17   3.52376E+03 
 4.36680E+17   4.10457E+03 
 4.40890E+17   4.77179E+03 
 4.45120E+17   5.53352E+03 
 4.49360E+17   6.39694E+03 
 4.53630E+17   7.37488E+03 
 4.57920E+17   8.47277E+03 
 4.62230E+17   9.69518E+03 
 4.66560E+17   1.10419E+04 
 4.70900E+17   1.25009E+04 
 4.75270E+17   1.40569E+04 
 4.79660E+17   1.56614E+04 
 4.84070E+17   1.72272E+04 
 4.88500E+17   1.85853E+04 
 4.92950E+17   1.93695E+04 
 4.97420E+17   1.84518E+04 
 5.01900E+17   1.46901E+04 
 5.06410E+17   1.70376E+04 
 5.10940E+17   1.97364E+04 
 5.15490E+17   2.28343E+04 
 5.20060E+17   2.63845E+04 
 5.24650E+17   3.04462E+04 
 5.29260E+17   3.50844E+04 
 5.33890E+17   4.03706E+04 
 5.38540E+17   4.63819E+04 
 5.43220E+17   5.32170E+04 
 5.47910E+17   6.09350E+04 
 5.52620E+17   6.96416E+04 
 5.57350E+17   7.94297E+04 
 5.62100E+17   9.03907E+04 
 5.66870E+17   1.02608E+05 
 5.71660E+17   1.16150E+05 
 5.76480E+17   1.31090E+05 
 5.81310E+17   1.47361E+05 
 5.86160E+17   1.64917E+05 
 5.91030E+17   1.83560E+05 
 5.95930E+17   2.02944E+05 
 6.00840E+17   2.22280E+05 
 6.05770E+17   2.40310E+05 
 6.10720E+17   2.54534E+05 
 6.15700E+17   2.59215E+05 
 6.20690E+17   2.29485E+05 
 6.25700E+17   2.13667E+05 
 6.30740E+17   2.43276E+05 
 6.35790E+17   2.76612E+05 
 6.40870E+17   3.14232E+05 
 6.45960E+17   3.56446E+05 
 6.51070E+17   4.03811E+05 
 6.56210E+17   4.56951E+05 
 6.61360E+17   5.16198E+05 
 6.66540E+17   5.82331E+05 
 6.71730E+17   6.55637E+05 
 6.76950E+17   7.36914E+05 
 6.82190E+17   8.26481E+05 
 6.87440E+17   9.24489E+05 
 6.92720E+17   1.03146E+06 
 6.98010E+17   1.14684E+06 
 7.03330E+17   1.27047E+06 
 7.08670E+17   1.40081E+06 
 7.14020E+17   1.53515E+06 
 7.19400E+17   1.66967E+06 
 7.24790E+17   1.79626E+06 
 7.30210E+17   1.90130E+06 
 7.35650E+17   1.95439E+06 
 7.41110E+17   1.85779E+06 
 7.46580E+17   1.60250E+06 
 7.52080E+17   1.80026E+06 
 7.57600E+17   2.02037E+06 
 7.63140E+17   2.26492E+06 
